lat,lon,time
34.15459,-119.22784,2018-09-20 06:00:27
34.15441,-119.22818,2018-09-20 06:10:29
34.15069,-119.23062,2018-09-20 06:20:26
34.14698,-119.23389,2018-09-20 06:30:26
34.14344,-119.23804,2018-09-20 06:40:25
34.13924,-119.24197,2018-09-20 06:50:30
34.1353,-119.2458,2018-09-20 07:00:24
34.13122,-119.25026,2018-09-20 07:10:29
34.12769,-119.25491,2018-09-20 07:20:26
34.12344,-119.25893,2018-09-20 07:30:29
34.11981,-119.26219,2018-09-20 07:40:28
34.11614,-119.26709,2018-09-20 07:50:24
34.10052,-119.28024,2018-09-20 08:30:19
34.09261,-119.28632,2018-09-20 08:50:21
34.08832,-119.29031,2018-09-20 09:03:04
34.08334,-119.29374,2018-09-20 09:13:04
34.07815,-119.29846,2018-09-20 09:23:04
34.07492,-119.30118,2018-09-20 09:30:19
34.07028,-119.30428,2018-09-20 09:41:54
34.06852,-119.30721,2018-09-20 09:50:18
34.06301,-119.31042,2018-09-20 10:01:32
34.05762,-119.31279,2018-09-20 10:12:31
34.05391,-119.31429,2018-09-20 10:20:22
34.04853,-119.31696,2018-09-20 10:30:14
34.0439,-119.32013,2018-09-20 10:40:15
34.04072,-119.32198,2018-09-20 10:50:17
34.03711,-119.32515,2018-09-20 11:00:14
34.03398,-119.32889,2018-09-20 11:10:13
34.03102,-119.33234,2018-09-20 11:20:13
34.02829,-119.33655,2018-09-20 11:30:12
34.02576,-119.34094,2018-09-20 11:40:12
34.02272,-119.34506,2018-09-20 11:50:14
34.01894,-119.34918,2018-09-20 12:00:14
34.01808,-119.35283,2018-09-20 12:10:10
34.016,-119.35504,2018-09-20 12:20:12
34.01423,-119.35632,2018-09-20 12:30:08
34.01261,-119.35759,2018-09-20 12:40:08
34.00964,-119.36151,2018-09-20 13:01:12
34.00934,-119.36323,2018-09-20 13:11:12
34.0093,-119.36623,2018-09-20 13:21:12
34.00632,-119.36914,2018-09-20 13:31:59
34.00616,-119.37094,2018-09-20 13:40:11
34.00567,-119.37402,2018-09-20 13:50:14
34.00634,-119.38036,2018-09-20 14:02:07
34.00553,-119.37956,2018-09-20 14:13:48
34.00455,-119.38205,2018-09-20 14:23:47
34.00335,-119.38492,2018-09-20 14:29:58
34.00198,-119.38689,2018-09-20 14:39:58
34.00145,-119.39059,2018-09-20 14:50:01
34.0018,-119.3947,2018-09-20 15:00:00
34.00198,-119.39842,2018-09-20 15:09:59
34.00305,-119.40263,2018-09-20 15:19:59
34.00353,-119.40755,2018-09-20 15:30:05
34.00317,-119.41167,2018-09-20 15:39:58
34.00241,-119.42343,2018-09-20 15:59:56
34.00414,-119.42848,2018-09-20 16:10:36
34.0058,-119.43227,2018-09-20 16:19:56
34.00851,-119.43654,2018-09-20 16:29:56
34.01005,-119.44117,2018-09-20 16:39:55
34.01194,-119.44649,2018-09-20 16:49:55
34.01496,-119.45343,2018-09-20 16:59:51
34.01809,-119.45894,2018-09-20 17:09:53
34.02047,-119.46495,2018-09-20 17:19:53
34.02189,-119.47061,2018-09-20 17:29:53
34.02415,-119.47478,2018-09-20 17:39:49
34.02568,-119.47974,2018-09-20 17:49:51
34.02681,-119.48411,2018-09-20 18:00:41
34.02771,-119.48643,2018-09-20 18:10:41
34.02745,-119.4884,2018-09-20 18:20:41
34.02702,-119.49005,2018-09-20 18:29:49
34.02708,-119.49133,2018-09-20 18:39:46
34.02646,-119.49241,2018-09-20 18:49:48
34.02655,-119.49413,2018-09-20 18:59:48
34.02801,-119.49597,2018-09-20 19:09:50
34.02846,-119.4984,2018-09-20 19:19:47
34.02903,-119.50114,2018-09-20 19:30:31
34.03089,-119.50458,2018-09-20 19:39:46
34.0334,-119.50899,2018-09-20 19:49:44
34.03563,-119.51277,2018-09-20 19:59:44
34.03786,-119.51634,2018-09-20 20:09:41
34.03947,-119.51945,2018-09-20 20:19:43
34.03851,-119.52217,2018-09-20 20:29:46
34.03653,-119.5237,2018-09-20 20:39:45
34.03689,-119.52312,2018-09-20 20:49:42
34.0376,-119.52292,2018-09-20 20:59:50
34.04034,-119.51926,2018-09-20 21:09:41
34.04583,-119.51479,2018-09-20 21:19:40
34.05203,-119.51043,2018-09-20 21:29:36
34.05697,-119.50734,2018-09-20 21:39:36
34.06209,-119.50171,2018-09-20 21:49:50
34.06617,-119.49725,2018-09-20 21:59:50
34.07098,-119.49266,2018-09-20 22:09:46
34.07441,-119.48811,2018-09-20 22:19:46
34.07812,-119.48256,2018-09-20 22:29:32
34.08185,-119.47947,2018-09-20 22:39:32
34.0858,-119.47415,2018-09-20 22:49:32
34.09044,-119.46925,2018-09-20 22:59:34
34.09444,-119.46686,2018-09-20 23:09:34
34.09886,-119.46158,2018-09-20 23:19:36
34.10205,-119.45636,2018-09-20 23:29:45
34.10494,-119.45297,2018-09-20 23:39:32
34.10678,-119.4476,2018-09-20 23:49:32
34.10843,-119.44287,2018-09-21 00:00:01
34.1107,-119.43875,2018-09-21 00:10:01
34.11147,-119.43433,2018-09-21 00:19:30
34.11324,-119.42888,2018-09-21 00:29:29
34.11477,-119.4249,2018-09-21 00:39:26
34.11546,-119.41975,2018-09-21 00:49:26
34.11625,-119.41408,2018-09-21 00:59:25
34.11698,-119.40919,2018-09-21 01:09:25
34.11732,-119.40332,2018-09-21 01:19:50
34.11779,-119.39757,2018-09-21 01:29:50
34.1181,-119.39426,2018-09-21 01:39:26
34.11943,-119.37939,2018-09-21 02:09:51
34.11964,-119.36925,2018-09-21 02:29:26
34.12022,-119.36377,2018-09-21 02:40:41
34.11951,-119.35902,2018-09-21 02:49:09
34.11906,-119.3533,2018-09-21 02:59:10
34.11875,-119.34806,2018-09-21 03:09:51
34.11926,-119.34274,2018-09-21 03:19:51
34.12,-119.33813,2018-09-21 03:29:07
34.1203,-119.3354,2018-09-21 03:39:11
34.12106,-119.33055,2018-09-21 03:49:07
34.12137,-119.32622,2018-09-21 03:59:09
34.12156,-119.32225,2018-09-21 04:09:09
34.12207,-119.31807,2018-09-21 04:19:08
34.12276,-119.31473,2018-09-21 04:29:06
34.12299,-119.31221,2018-09-21 04:39:07
34.12299,-119.30772,2018-09-21 04:52:18
34.12329,-119.30614,2018-09-21 04:59:03
34.12281,-119.30434,2018-09-21 05:09:06
34.12326,-119.30197,2018-09-21 05:19:05
34.12419,-119.30075,2018-09-21 05:29:04
34.12458,-119.29939,2018-09-21 05:38:59
34.12529,-119.29784,2018-09-21 05:49:03
34.12591,-119.29596,2018-09-21 05:59:03
34.12606,-119.29536,2018-09-21 06:09:00
34.12706,-119.29399,2018-09-21 06:18:59
34.12743,-119.29204,2018-09-21 06:28:56
34.12748,-119.29092,2018-09-21 06:39:01
34.12826,-119.28987,2018-09-21 06:49:15
34.12871,-119.28833,2018-09-21 06:58:56
34.12911,-119.28772,2018-09-21 07:09:20
34.1294,-119.28606,2018-09-21 07:18:59
34.12925,-119.28305,2018-09-21 07:28:56
34.12821,-119.28212,2018-09-21 07:38:57
34.12879,-119.28047,2018-09-21 07:48:54
34.12905,-119.27841,2018-09-21 07:58:56
34.12853,-119.27807,2018-09-21 08:08:56
34.12896,-119.27635,2018-09-21 08:18:56
34.1291,-119.27385,2018-09-21 08:28:55
34.12835,-119.27412,2018-09-21 08:38:54
34.12878,-119.27182,2018-09-21 08:48:50
34.12968,-119.26917,2018-09-21 08:58:47
34.13114,-119.26668,2018-09-21 09:09:10
34.13241,-119.26399,2018-09-21 09:18:52
34.13293,-119.26331,2018-09-21 09:28:48
34.13417,-119.26056,2018-09-21 09:38:48
34.13558,-119.25769,2018-09-21 09:48:48
34.13799,-119.25453,2018-09-21 09:59:56
34.13987,-119.25365,2018-09-21 10:10:20
34.14171,-119.25101,2018-09-21 10:19:49
34.14338,-119.2473,2018-09-21 10:28:45
34.1458,-119.24342,2018-09-21 10:38:44
34.14836,-119.23938,2018-09-21 10:48:47
34.15024,-119.23677,2018-09-21 10:58:47
34.1522,-119.23228,2018-09-21 11:08:42
34.15452,-119.22798,2018-09-21 11:18:46
34.15535,-119.22739,2018-09-21 11:28:48
